id1,id2,correlation,Metadata_line_ID1,Metadata_plating_density1,Metadata_line_ID2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
26,25,0.9579599664224218,26,10000,25,10000,1224.5,1374,149.5,2598.5
25,23,0.88809940787034225,25,10000,23,10000,1374,1077.5,296.5,2451.5
26,24,0.872071135393279,26,10000,24,10000,1224.5,1786,561.5,3010.5
25,24,0.8537098767550337,25,10000,24,10000,1374,1786,412,3160
26,23,0.8359756415084099,26,10000,23,10000,1224.5,1077.5,147,2302
37,29,0.7378093618687813,37,10000,29,10000,3364,2358,1006,5722
24,23,0.7263808476339549,24,10000,23,10000,1786,1077.5,708.5,2863.5
48,30,0.7159907590198021,48,10000,30,10000,1715.5,1624,91.5,3339.5
37,32,0.7136089899134763,37,10000,32,10000,3364,2673.5,690.5,6037.5
47,44,0.7109080876603325,47,10000,44,10000,3623,3429,194,7052
40,28,0.6775581669466885,40,10000,28,10000,1563,1027,536,2590
41,38,0.6737368207385246,41,10000,38,10000,3801.5,2397.5,1404,6199
5,1,0.6696041351135098,5,10000,1,10000,1363.5,1517,153.5,2880.5
14,13,0.6350872666392274,14,10000,13,10000,1483.5,1809.5,326,3293
22,20,0.6146805946569643,22,10000,20,10000,1363,1503,140,2866
45,28,0.6127440455852167,45,10000,28,10000,2163.5,1027,1136.5,3190.5
47,41,0.60867535599763,47,10000,41,10000,3623,3801.5,178.5,7424.5
32,29,0.6003626640268032,32,10000,29,10000,2673.5,2358,315.5,5031.5
20,6,0.5978687367836555,20,10000,6,10000,1503,1185,318,2688
47,2,0.5914222290626201,47,10000,2,10000,3623,2509.5,1113.5,6132.5
30,16,0.5911112550370652,30,10000,16,10000,1624,1916,292,3540
45,32,0.585608095625753,45,10000,32,10000,2163.5,2673.5,510,4837
45,42,0.5840944255341665,45,10000,42,10000,2163.5,3053.5,890,5217
22,3,0.5747860536903856,22,10000,3,10000,1363,1435,72,2798
46,3,0.5703504010767171,46,10000,3,10000,2187,1435,752,3622
16,14,0.5678706028266413,16,10000,14,10000,1916,1483.5,432.5,3399.5
48,14,0.5621975438072699,48,10000,14,10000,1715.5,1483.5,232,3199
40,26,0.5589971815128932,40,10000,26,10000,1563,1224.5,338.5,2787.5
16,13,0.5567598238794191,16,10000,13,10000,1916,1809.5,106.5,3725.5
48,38,0.5549153814352137,48,10000,38,10000,1715.5,2397.5,682,4113
44,41,0.5475282857444085,44,10000,41,10000,3429,3801.5,372.5,7230.5
33,30,0.5466039115715108,33,10000,30,10000,2186,1624,562,3810
43,41,0.5454750566888608,43,10000,41,10000,2869,3801.5,932.5,6670.5
34,31,0.54235498484838,34,10000,31,10000,2624,1815.5,808.5,4439.5
48,16,0.5396522344828085,48,10000,16,10000,1715.5,1916,200.5,3631.5
17,14,0.5392691108937075,17,10000,14,10000,1197.5,1483.5,286,2681
45,40,0.5246842334555796,45,10000,40,10000,2163.5,1563,600.5,3726.5
46,45,0.5242691532901351,46,10000,45,10000,2187,2163.5,23.5,4350.5
28,26,0.5204126870804847,28,10000,26,10000,1027,1224.5,197.5,2251.5
39,5,0.5171683447226212,39,10000,5,10000,2384.5,1363.5,1021,3748
40,25,0.5169875379508649,40,10000,25,10000,1563,1374,189,2937
41,27,0.5084963004634706,41,10000,27,10000,3801.5,2401.5,1400,6203
31,5,0.4953065311200801,31,10000,5,10000,1815.5,1363.5,452,3179
47,24,0.48490321562227146,47,10000,24,10000,3623,1786,1837,5409
32,19,0.4829562745022045,32,10000,19,10000,2673.5,2318.5,355,4992
46,32,0.4763943315684705,46,10000,32,10000,2187,2673.5,486.5,4860.5
40,24,0.469257032967826,40,10000,24,10000,1563,1786,223,3349
27,26,0.46317014319923183,27,10000,26,10000,2401.5,1224.5,1177,3626
45,25,0.45364023099188494,45,10000,25,10000,2163.5,1374,789.5,3537.5
45,26,0.45314819324476774,45,10000,26,10000,2163.5,1224.5,939,3388
30,14,0.4441718332713966,30,10000,14,10000,1624,1483.5,140.5,3107.5
46,37,0.4441586801739361,46,10000,37,10000,2187,3364,1177,5551
37,19,0.4431001545646616,37,10000,19,10000,3364,2318.5,1045.5,5682.5
48,13,0.4423769397696964,48,10000,13,10000,1715.5,1809.5,94,3525
34,33,0.4416347154280673,34,10000,33,10000,2624,2186,438,4810
28,25,0.4390143449796623,28,10000,25,10000,1027,1374,347,2401
33,1,0.436019262260275,33,10000,1,10000,2186,1517,669,3703
30,1,0.4346333884418349,30,10000,1,10000,1624,1517,107,3141
45,23,0.43273733658653596,45,10000,23,10000,2163.5,1077.5,1086,3241
17,5,0.42913048803550363,17,10000,5,10000,1197.5,1363.5,166,2561
43,37,0.4272985159727995,43,10000,37,10000,2869,3364,495,6233
33,16,0.4252086410962171,33,10000,16,10000,2186,1916,270,4102
16,8,0.4242865790019608,16,10000,8,10000,1916,1030.5,885.5,2946.5
27,24,0.42294414194697255,27,10000,24,10000,2401.5,1786,615.5,4187.5
42,37,0.422227232711133,42,10000,37,10000,3053.5,3364,310.5,6417.5
20,17,0.4213922023053431,20,10000,17,10000,1503,1197.5,305.5,2700.5
29,18,0.41935915175536054,29,10000,18,10000,2358,2409,51,4767
44,2,0.41849270748576,44,10000,2,10000,3429,2509.5,919.5,5938.5
42,32,0.4166811480091153,42,10000,32,10000,3053.5,2673.5,380,5727
27,25,0.4146246129246278,27,10000,25,10000,2401.5,1374,1027.5,3775.5
31,25,0.4116448193992651,31,10000,25,10000,1815.5,1374,441.5,3189.5
24,2,0.40810169122984724,24,10000,2,10000,1786,2509.5,723.5,4295.5
36,27,0.40606645091910454,36,10000,27,10000,2064.5,2401.5,337,4466
34,19,0.4051880713775565,34,10000,19,10000,2624,2318.5,305.5,4942.5
38,16,0.4045708188023469,38,10000,16,10000,2397.5,1916,481.5,4313.5
23,6,0.4041602180272058,23,10000,6,10000,1077.5,1185,107.5,2262.5
45,24,0.40101329481923254,45,10000,24,10000,2163.5,1786,377.5,3949.5
41,37,0.39473805558882125,41,10000,37,10000,3801.5,3364,437.5,7165.5
44,43,0.39014776143396435,44,10000,43,10000,3429,2869,560,6298
33,10,0.38912177811693316,33,10000,10,10000,2186,1981,205,4167
20,3,0.38733843199371903,20,10000,3,10000,1503,1435,68,2938
31,23,0.38249579866558964,31,10000,23,10000,1815.5,1077.5,738,2893
28,23,0.38216831765561643,28,10000,23,10000,1027,1077.5,50.5,2104.5
46,29,0.38135791978172234,46,10000,29,10000,2187,2358,171,4545
43,18,0.38061779175989185,43,10000,18,10000,2869,2409,460,5278
40,23,0.3785540074472368,40,10000,23,10000,1563,1077.5,485.5,2640.5
14,1,0.3760135598420831,14,10000,1,10000,1483.5,1517,33.5,3000.5
28,24,0.3758211145622626,28,10000,24,10000,1027,1786,759,2813
44,34,0.3742532415031706,44,10000,34,10000,3429,2624,805,6053
44,37,0.37174382046570603,44,10000,37,10000,3429,3364,65,6793
38,30,0.3712355720536961,38,10000,30,10000,2397.5,1624,773.5,4021.5
45,37,0.3710036379555183,45,10000,37,10000,2163.5,3364,1200.5,5527.5
37,34,0.37033957155098124,37,10000,34,10000,3364,2624,740,5988
46,42,0.36608807441253133,46,10000,42,10000,2187,3053.5,866.5,5240.5
34,18,0.3609538866554361,34,10000,18,10000,2624,2409,215,5033
10,1,0.3601427172219263,10,10000,1,10000,1981,1517,464,3498
14,10,0.3600922105355944,14,10000,10,10000,1483.5,1981,497.5,3464.5
34,29,0.35469220288866554,34,10000,29,10000,2624,2358,266,4982
38,13,0.3465199336385824,38,10000,13,10000,2397.5,1809.5,588,4207
19,6,0.3444738968129129,19,10000,6,10000,2318.5,1185,1133.5,3503.5
10,5,0.3433561784542178,10,10000,5,10000,1981,1363.5,617.5,3344.5
22,8,0.3429104730942231,22,10000,8,10000,1363,1030.5,332.5,2393.5
43,29,0.34035179993489983,43,10000,29,10000,2869,2358,511,5227
14,8,0.34026698258175175,14,10000,8,10000,1483.5,1030.5,453,2514
17,8,0.33960908628024994,17,10000,8,10000,1197.5,1030.5,167,2228
38,8,0.339384646794376,38,10000,8,10000,2397.5,1030.5,1367,3428
17,10,0.3393328650867252,17,10000,10,10000,1197.5,1981,783.5,3178.5
41,36,0.3384405579244049,41,10000,36,10000,3801.5,2064.5,1737,5866
43,27,0.33800637451141646,43,10000,27,10000,2869,2401.5,467.5,5270.5
5,4,0.3361171499394972,5,10000,4,10000,1363.5,1145.5,218,2509
42,40,0.3357306754890174,42,10000,40,10000,3053.5,1563,1490.5,4616.5
30,13,0.33392323198845414,30,10000,13,10000,1624,1809.5,185.5,3433.5
47,26,0.3318700623601958,47,10000,26,10000,3623,1224.5,2398.5,4847.5
31,19,0.3295733260945341,31,10000,19,10000,1815.5,2318.5,503,4134
19,3,0.3267128275006924,19,10000,3,10000,2318.5,1435,883.5,3753.5
14,4,0.325869796373345,14,10000,4,10000,1483.5,1145.5,338,2629
13,10,0.3254390437499007,13,10000,10,10000,1809.5,1981,171.5,3790.5
31,26,0.3253375482049405,31,10000,26,10000,1815.5,1224.5,591,3040
47,37,0.32208534316139203,47,10000,37,10000,3623,3364,259,6987
10,4,0.3205912105700925,10,10000,4,10000,1981,1145.5,835.5,3126.5
34,10,0.31616023492951,34,10000,10,10000,2624,1981,643,4605
34,5,0.31142033980486067,34,10000,5,10000,2624,1363.5,1260.5,3987.5
30,10,0.3076046629366017,30,10000,10,10000,1624,1981,357,3605
17,4,0.3054249976358128,17,10000,4,10000,1197.5,1145.5,52,2343
29,19,0.3034344626713951,29,10000,19,10000,2358,2318.5,39.5,4676.5
43,39,0.3033600437736961,43,10000,39,10000,2869,2384.5,484.5,5253.5
48,33,0.30324786070243404,48,10000,33,10000,1715.5,2186,470.5,3901.5
17,6,0.3011695704380378,17,10000,6,10000,1197.5,1185,12.5,2382.5
39,31,0.2995583600996469,39,10000,31,10000,2384.5,1815.5,569,4200
17,13,0.2992754643868862,17,10000,13,10000,1197.5,1809.5,612,3007
17,1,0.2953190459466296,17,10000,1,10000,1197.5,1517,319.5,2714.5
14,5,0.29448399330297853,14,10000,5,10000,1483.5,1363.5,120,2847
16,10,0.2911171713904247,16,10000,10,10000,1916,1981,65,3897
32,3,0.2904684376347608,32,10000,3,10000,2673.5,1435,1238.5,4108.5
44,42,0.290312398324629,44,10000,42,10000,3429,3053.5,375.5,6482.5
47,25,0.2850949092970478,47,10000,25,10000,3623,1374,2249,4997
47,42,0.2839911703233506,47,10000,42,10000,3623,3053.5,569.5,6676.5
43,38,0.2837995427046094,43,10000,38,10000,2869,2397.5,471.5,5266.5
45,29,0.2829544625728927,45,10000,29,10000,2163.5,2358,194.5,4521.5
22,18,0.28243350139416984,22,10000,18,10000,1363,2409,1046,3772
17,16,0.2801897340608745,17,10000,16,10000,1197.5,1916,718.5,3113.5
40,27,0.2799058475267764,40,10000,27,10000,1563,2401.5,838.5,3964.5
27,23,0.27678233806868446,27,10000,23,10000,2401.5,1077.5,1324,3479
39,34,0.27442903902877414,39,10000,34,10000,2384.5,2624,239.5,5008.5
37,18,0.272462121510467,37,10000,18,10000,3364,2409,955,5773
31,6,0.26951652466212517,31,10000,6,10000,1815.5,1185,630.5,3000.5
29,3,0.2675730977177515,29,10000,3,10000,2358,1435,923,3793
38,14,0.26740529758990644,38,10000,14,10000,2397.5,1483.5,914,3881
19,10,0.26554567683620056,19,10000,10,10000,2318.5,1981,337.5,4299.5
47,43,0.26524908781033235,47,10000,43,10000,3623,2869,754,6492
25,6,0.2628814816255627,25,10000,6,10000,1374,1185,189,2559
48,8,0.2625468857076551,48,10000,8,10000,1715.5,1030.5,685,2746
26,6,0.2621785554138341,26,10000,6,10000,1224.5,1185,39.5,2409.5
47,38,0.26213049843100217,47,10000,38,10000,3623,2397.5,1225.5,6020.5
45,19,0.2605213988665606,45,10000,19,10000,2163.5,2318.5,155,4482
47,27,0.25978969361762677,47,10000,27,10000,3623,2401.5,1221.5,6024.5
44,33,0.25976378933078537,44,10000,33,10000,3429,2186,1243,5615
47,40,0.25845741891082014,47,10000,40,10000,3623,1563,2060,5186
38,36,0.25761816849548386,38,10000,36,10000,2397.5,2064.5,333,4462
45,6,0.2535980100044378,45,10000,6,10000,2163.5,1185,978.5,3348.5
4,1,0.2531312132696153,4,10000,1,10000,1145.5,1517,371.5,2662.5
48,1,0.2523829243821284,48,10000,1,10000,1715.5,1517,198.5,3232.5
22,6,0.25210074702032653,22,10000,6,10000,1363,1185,178,2548
42,28,0.2520767617136422,42,10000,28,10000,3053.5,1027,2026.5,4080.5
33,5,0.2516378002908272,33,10000,5,10000,2186,1363.5,822.5,3549.5
31,24,0.25086212817855125,31,10000,24,10000,1815.5,1786,29.5,3601.5
44,39,0.25044922945700404,44,10000,39,10000,3429,2384.5,1044.5,5813.5
25,2,0.24930815868756348,25,10000,2,10000,1374,2509.5,1135.5,3883.5
40,31,0.24828642374171256,40,10000,31,10000,1563,1815.5,252.5,3378.5
39,1,0.246565444704509,39,10000,1,10000,2384.5,1517,867.5,3901.5
20,8,0.24498622525702393,20,10000,8,10000,1503,1030.5,472.5,2533.5
37,3,0.24446760851291538,37,10000,3,10000,3364,1435,1929,4799
22,13,0.24145279023023095,22,10000,13,10000,1363,1809.5,446.5,3172.5
46,19,0.24085293778701383,46,10000,19,10000,2187,2318.5,131.5,4505.5
20,19,0.24050935237855153,20,10000,19,10000,1503,2318.5,815.5,3821.5
44,24,0.23830816720614026,44,10000,24,10000,3429,1786,1643,5215
22,16,0.2367753278395016,22,10000,16,10000,1363,1916,553,3279
22,17,0.2360328593684186,22,10000,17,10000,1363,1197.5,165.5,2560.5
44,40,0.23357798724002976,44,10000,40,10000,3429,1563,1866,4992
26,2,0.2324580182121752,26,10000,2,10000,1224.5,2509.5,1285,3734
34,32,0.23131282126436323,34,10000,32,10000,2624,2673.5,49.5,5297.5
28,6,0.22935649253195484,28,10000,6,10000,1027,1185,158,2212
31,4,0.228880454927064,31,10000,4,10000,1815.5,1145.5,670,2961
29,22,0.22885624828914886,29,10000,22,10000,2358,1363,995,3721
22,19,0.22794938206563803,22,10000,19,10000,1363,2318.5,955.5,3681.5
42,19,0.22608492535364996,42,10000,19,10000,3053.5,2318.5,735,5372
20,18,0.2247009841907292,20,10000,18,10000,1503,2409,906,3912
39,30,0.22426427902440044,39,10000,30,10000,2384.5,1624,760.5,4008.5
43,34,0.2233942531661614,43,10000,34,10000,2869,2624,245,5493
39,14,0.22308891610892387,39,10000,14,10000,2384.5,1483.5,901,3868
36,18,0.22218662207441237,36,10000,18,10000,2064.5,2409,344.5,4473.5
22,4,0.2220050277509951,22,10000,4,10000,1363,1145.5,217.5,2508.5
34,1,0.2215369697375082,34,10000,1,10000,2624,1517,1107,4141
46,28,0.21937056305257058,46,10000,28,10000,2187,1027,1160,3214
41,29,0.2187182158730252,41,10000,29,10000,3801.5,2358,1443.5,6159.5
39,13,0.21344130513942988,39,10000,13,10000,2384.5,1809.5,575,4194
6,3,0.21284415272273877,6,10000,3,10000,1185,1435,250,2620
41,24,0.21050878051022248,41,10000,24,10000,3801.5,1786,2015.5,5587.5
45,31,0.20969974547771147,45,10000,31,10000,2163.5,1815.5,348,3979
45,3,0.20961980822251988,45,10000,3,10000,2163.5,1435,728.5,3598.5
39,16,0.20616078706493132,39,10000,16,10000,2384.5,1916,468.5,4300.5
34,4,0.2059900209150819,34,10000,4,10000,2624,1145.5,1478.5,3769.5
4,3,0.20469788402716094,4,10000,3,10000,1145.5,1435,289.5,2580.5
16,1,0.20407896773653827,16,10000,1,10000,1916,1517,399,3433
23,2,0.20346882591211957,23,10000,2,10000,1077.5,2509.5,1432,3587
33,3,0.20179159287368945,33,10000,3,10000,2186,1435,751,3621
39,10,0.20064329818783708,39,10000,10,10000,2384.5,1981,403.5,4365.5
47,45,0.19984163326223786,47,10000,45,10000,3623,2163.5,1459.5,5786.5
44,38,0.1985242188434651,44,10000,38,10000,3429,2397.5,1031.5,5826.5
32,24,0.1974382128642813,32,10000,24,10000,2673.5,1786,887.5,4459.5
13,8,0.1959491854562508,13,10000,8,10000,1809.5,1030.5,779,2840
46,22,0.19280211584109244,46,10000,22,10000,2187,1363,824,3550
43,32,0.19233798757171422,43,10000,32,10000,2869,2673.5,195.5,5542.5
39,33,0.19129176276247886,39,10000,33,10000,2384.5,2186,198.5,4570.5
48,41,0.1861143957028581,48,10000,41,10000,1715.5,3801.5,2086,5517
30,8,0.185231766635124,30,10000,8,10000,1624,1030.5,593.5,2654.5
41,18,0.18395726317971273,41,10000,18,10000,3801.5,2409,1392.5,6210.5
48,39,0.1827770891523259,48,10000,39,10000,1715.5,2384.5,669,4100
43,33,0.18227061314537002,43,10000,33,10000,2869,2186,683,5055
31,1,0.1815509076835908,31,10000,1,10000,1815.5,1517,298.5,3332.5
13,4,0.18043719235838115,13,10000,4,10000,1809.5,1145.5,664,2955
47,29,0.1787308498811174,47,10000,29,10000,3623,2358,1265,5981
33,4,0.1775448894107376,33,10000,4,10000,2186,1145.5,1040.5,3331.5
47,28,0.17431555439952212,47,10000,28,10000,3623,1027,2596,4650
32,6,0.17423790882886742,32,10000,6,10000,2673.5,1185,1488.5,3858.5
44,29,0.17364880928186519,44,10000,29,10000,3429,2358,1071,5787
20,4,0.1712246300484746,20,10000,4,10000,1503,1145.5,357.5,2648.5
32,23,0.171075265610578,32,10000,23,10000,2673.5,1077.5,1596,3751
20,14,0.17063512064213934,20,10000,14,10000,1503,1483.5,19.5,2986.5
34,2,0.1703970781915152,34,10000,2,10000,2624,2509.5,114.5,5133.5
44,27,0.16959217867148121,44,10000,27,10000,3429,2401.5,1027.5,5830.5
22,14,0.16827803830576768,22,10000,14,10000,1363,1483.5,120.5,2846.5
33,29,0.16588883061000365,33,10000,29,10000,2186,2358,172,4544
32,25,0.16252029729753517,32,10000,25,10000,2673.5,1374,1299.5,4047.5
18,17,0.15851415587100628,18,10000,17,10000,2409,1197.5,1211.5,3606.5
42,41,0.15744679456816513,42,10000,41,10000,3053.5,3801.5,748,6855
27,18,0.15718131096968313,27,10000,18,10000,2401.5,2409,7.5,4810.5
43,36,0.1548815522060644,43,10000,36,10000,2869,2064.5,804.5,4933.5
46,36,0.1544008210449374,46,10000,36,10000,2187,2064.5,122.5,4251.5
37,33,0.1537301796424104,37,10000,33,10000,3364,2186,1178,5550
48,40,0.15316546395153738,48,10000,40,10000,1715.5,1563,152.5,3278.5
33,18,0.152559390105033,33,10000,18,10000,2186,2409,223,4595
29,20,0.15245176245220604,29,10000,20,10000,2358,1503,855,3861
20,10,0.1522183451644414,20,10000,10,10000,1503,1981,478,3484
48,10,0.15213766037521528,48,10000,10,10000,1715.5,1981,265.5,3696.5
48,42,0.152064042795232,48,10000,42,10000,1715.5,3053.5,1338,4769
31,27,0.1504641789879648,31,10000,27,10000,1815.5,2401.5,586,4217
47,23,0.1494751751073084,47,10000,23,10000,3623,1077.5,2545.5,4700.5
20,13,0.14927647495134863,20,10000,13,10000,1503,1809.5,306.5,3312.5
28,8,0.1469135247917391,28,10000,8,10000,1027,1030.5,3.5,2057.5
19,5,0.14617225988746466,19,10000,5,10000,2318.5,1363.5,955,3682
42,29,0.14615717498335365,42,10000,29,10000,3053.5,2358,695.5,5411.5
22,10,0.1450956678033271,22,10000,10,10000,1363,1981,618,3344
19,18,0.1449266930930126,19,10000,18,10000,2318.5,2409,90.5,4727.5
41,40,0.14410742246790625,41,10000,40,10000,3801.5,1563,2238.5,5364.5
30,5,0.1430313305450124,30,10000,5,10000,1624,1363.5,260.5,2987.5
39,19,0.14136900949555611,39,10000,19,10000,2384.5,2318.5,66,4703
45,2,0.14110983763377516,45,10000,2,10000,2163.5,2509.5,346,4673
46,20,0.13943052611251927,46,10000,20,10000,2187,1503,684,3690
44,36,0.13917278375086692,44,10000,36,10000,3429,2064.5,1364.5,5493.5
41,39,0.13766314317906733,41,10000,39,10000,3801.5,2384.5,1417,6186
6,4,0.1376449372514302,6,10000,4,10000,1185,1145.5,39.5,2330.5
43,24,0.13641695686801683,43,10000,24,10000,2869,1786,1083,4655
19,4,0.1354982674207343,19,10000,4,10000,2318.5,1145.5,1173,3464
32,26,0.13370775434124677,32,10000,26,10000,2673.5,1224.5,1449,3898
37,2,0.13335175026121254,37,10000,2,10000,3364,2509.5,854.5,5873.5
44,32,0.13292968638362554,44,10000,32,10000,3429,2673.5,755.5,6102.5
41,2,0.13195431631386648,41,10000,2,10000,3801.5,2509.5,1292,6311
38,27,0.1308173767177799,38,10000,27,10000,2397.5,2401.5,4,4799
44,25,0.13017228639448117,44,10000,25,10000,3429,1374,2055,4803
39,27,0.12977553371868547,39,10000,27,10000,2384.5,2401.5,17,4786
39,17,0.12925457556453254,39,10000,17,10000,2384.5,1197.5,1187,3582
36,26,0.12879759700583474,36,10000,26,10000,2064.5,1224.5,840,3289
28,27,0.12826344631065695,28,10000,27,10000,1027,2401.5,1374.5,3428.5
48,36,0.12742956252902393,48,10000,36,10000,1715.5,2064.5,349,3780
